iter	RMSE
0	9.400751327
1	9.34710009
2	9.331085854
3	9.296305327
4	9.271895675
5	9.249112314
6	9.194982021
7	9.154194943
8	9.118354815
9	9.096480757
10	9.065684948
11	9.024714577
12	9.011371489
13	8.965317663
14	8.949714371
15	8.932660039
16	8.91485364
17	8.885522188
18	8.868190627
19	8.861070508
20	8.84857523
21	8.836360448
22	8.814867386
23	8.78938957
24	8.774693578
25	8.764746096
26	8.745746739
27	8.732356874
28	8.721351231
29	8.683025636
30	8.670626532
31	8.628270359
32	8.617572205
33	8.604222644
34	8.593071018
35	8.573013755
36	8.550845272
37	8.535301138
38	8.528647353
39	8.518433135
40	8.506378143
41	8.470234388
42	8.453100041
43	8.413016895
44	8.394310281
45	8.376925083
46	8.362404217
47	8.349807784
48	8.316444683
49	8.303263367
50	8.286981895
51	8.263876002
52	8.240851326
53	8.22991892
54	8.221805282
55	8.189124344
56	8.175208305
57	8.1635285
58	8.150499596
59	8.132184044
60	8.114440253
61	8.100234262
62	8.088771003
63	8.072797809
64	8.060476229
65	8.048478618
66	8.038803373
67	8.011540709
68	7.984954689
69	7.968961211
70	7.943323423
71	7.928169835
72	7.917783517
73	7.904666568
74	7.883514112
75	7.87655783
76	7.868670148
77	7.863815295
78	7.839147252
79	7.834715452
80	7.821789977
81	7.815710088
82	7.808797712
83	7.802434992
84	7.791119982
85	7.770278075
86	7.759501061
87	7.731701854
88	7.72060204
89	7.712304359
90	7.702175103
91	7.698939425
92	7.692015367
93	7.67872036
94	7.669729393
95	7.66387571
96	7.644460061
97	7.637042571
98	7.625295064
99	7.619908232
100	7.59731216
101	7.590792791
102	7.580498852
103	7.57331968
104	7.551943466
105	7.54694959
106	7.53495026
107	7.518643725
108	7.496912469
109	7.484718535
110	7.475024265
111	7.46983225
112	7.460154621
113	7.442251452
114	7.436391699
115	7.427836434
116	7.419684929
117	7.412119988
118	7.399067217
119	7.389148388
120	7.37752824
121	7.366758031
122	7.35872351
123	7.339187142
124	7.333960992
125	7.316826188
126	7.313346808
127	7.304761487
128	7.29514007
129	7.289851742
130	7.280615459
131	7.273502058
132	7.269040479
133	7.255462011
134	7.246097506
135	7.244389225
136	7.23911045
137	7.231629276
138	7.215447472
139	7.208382372
140	7.202998073
141	7.195217692
142	7.183851805
143	7.172390313
144	7.16733743
145	7.159568384
146	7.155395922
147	7.138776974
148	7.129473644
149	7.122361341
150	7.116694897
151	7.108615658
152	7.100103787
153	7.097151384
154	7.087847669
155	7.079399657
156	7.071837311
157	7.057096125
158	7.050091486
159	7.038999336
160	7.032900602
161	7.025816395
162	7.017630222
163	7.000884033
164	6.992436707
165	6.984437588
166	6.976547599
167	6.974208572
168	6.97166689
169	6.964673499
170	6.958203032
171	6.943644184
172	6.940953285
173	6.932521348
174	6.930075898
175	6.923222034
176	6.915908654
177	6.906856431
