iter	Passed	Remaining
0	0	138
1	0	120
2	0	113
3	0	108
4	0	103
5	1	102
6	1	99
7	1	96
8	1	93
9	1	92
10	1	90
11	1	88
12	1	86
13	2	86
14	2	86
15	2	86
16	2	86
17	2	86
18	2	86
19	2	86
20	3	86
21	3	85
22	3	85
23	3	86
24	3	86
25	3	86
26	4	91
27	4	91
28	4	90
29	4	91
30	5	93
31	5	92
32	5	92
33	5	92
34	5	91
35	5	91
36	6	92
37	6	93
38	6	94
39	6	93
40	6	93
41	7	93
42	7	92
43	7	92
44	7	92
45	7	92
46	7	92
47	8	92
48	8	91
49	8	91
50	8	90
51	8	90
52	8	90
53	8	89
54	9	89
55	9	88
56	9	88
57	9	88
58	9	87
59	9	87
60	9	87
61	10	87
62	10	87
63	10	87
64	10	86
65	10	86
66	10	86
67	11	86
68	11	85
69	11	85
70	11	84
71	11	84
72	11	84
73	11	83
74	11	83
75	12	82
76	12	82
77	12	82
78	12	81
79	12	81
80	12	80
81	12	80
82	12	80
83	12	79
84	13	79
85	13	79
86	13	79
87	13	79
88	13	79
89	14	79
90	14	79
91	14	79
92	14	79
93	14	79
94	14	78
95	15	78
96	15	78
97	15	78
98	15	78
99	15	78
100	15	78
101	16	78
102	16	78
103	16	77
104	16	77
105	16	77
106	16	77
107	16	76
108	17	76
109	17	76
110	17	76
111	17	76
112	17	76
113	17	76
114	18	76
115	18	76
116	18	76
117	18	75
118	18	75
119	18	75
120	19	75
121	19	75
122	19	75
123	19	75
124	19	74
125	19	74
126	20	74
127	20	74
128	20	74
129	20	74
130	20	74
131	20	73
132	21	74
133	21	73
134	21	73
135	21	73
136	21	73
137	21	73
138	22	73
139	22	72
140	22	72
141	22	72
142	22	72
143	22	72
144	23	72
145	23	72
146	23	71
147	23	71
148	23	71
149	23	71
150	23	71
151	24	70
152	24	70
153	24	70
154	24	70
155	24	70
156	24	69
157	24	69
158	25	69
159	25	69
160	25	69
161	25	69
162	25	69
163	25	68
164	25	68
165	26	68
166	26	68
167	26	67
168	26	67
169	26	67
170	26	67
171	26	66
172	27	66
173	27	66
174	27	66
175	27	66
176	27	66
177	28	66
