iter	Passed	Remaining
0	0	156
1	0	125
2	0	113
3	0	106
4	0	101
5	1	103
6	1	101
7	1	108
8	1	109
9	1	107
10	1	105
11	2	104
12	2	102
13	2	102
14	2	103
15	2	103
16	2	102
17	3	102
18	3	101
19	3	100
20	3	99
21	3	98
22	3	97
23	4	97
24	4	96
25	4	96
26	4	96
27	4	95
28	4	94
29	4	93
30	5	93
31	5	93
32	5	92
33	5	92
34	5	91
35	5	91
36	5	90
37	6	90
38	6	89
39	6	89
40	6	89
41	6	89
42	6	88
43	6	88
44	7	87
45	7	87
46	7	88
47	7	88
48	7	88
49	8	88
50	8	88
51	8	88
52	8	90
53	8	90
54	9	90
55	9	90
56	9	90
57	9	90
58	9	89
59	9	89
60	10	89
61	10	89
62	10	88
63	10	88
64	10	88
65	10	88
66	11	88
67	11	87
68	11	87
69	11	87
70	11	87
71	12	88
72	12	87
73	12	87
74	12	87
75	12	86
76	12	86
77	12	86
78	13	86
79	13	85
80	13	85
81	13	85
82	13	85
83	13	84
84	13	84
85	14	84
86	14	83
87	14	83
88	14	83
89	14	83
90	14	82
91	14	82
92	15	82
93	15	82
94	15	81
95	15	81
96	15	81
97	15	81
98	16	81
99	16	80
100	16	80
101	16	80
102	16	80
103	16	80
104	16	80
105	17	79
106	17	79
107	17	79
108	17	79
109	17	79
110	18	79
111	18	79
112	18	79
113	18	79
114	18	78
115	18	78
116	19	78
117	19	78
118	19	78
119	19	78
120	19	78
121	19	78
122	20	77
123	20	77
124	20	77
125	20	77
126	20	77
127	20	77
128	21	77
129	21	77
130	21	76
131	21	76
132	21	76
133	21	76
134	22	76
135	22	76
136	22	76
137	22	76
138	22	75
139	23	75
140	23	75
141	23	75
142	23	75
143	23	75
144	23	75
145	24	75
146	24	74
147	24	74
148	24	74
149	24	74
150	24	74
151	25	73
152	25	73
153	25	73
154	25	73
155	25	73
156	25	72
157	26	72
158	26	72
159	26	72
160	26	72
161	26	72
162	26	71
163	26	71
164	27	71
165	27	71
166	27	71
167	27	71
168	27	71
169	28	71
170	28	72
171	29	72
172	29	72
173	29	72
174	29	72
175	29	71
176	29	71
177	30	71
